"year","hits"
1705,357600381
1706,295227569
1707,325932568
1708,304263101
1709,289416557
1710,397517186
1711,296677554
1712,285514469
1713,261566129
1714,312665979
1715,351212088
1716,318142534
1717,277511982
1718,353133348
1719,345376496
1720,451448734
1721,410049875
1722,367280958
1723,308854023
1724,330791803
1725,408275545
1726,480641689
1727,447275475
1728,427137368
1729,320942627
1730,428734597
1731,320768553
1732,462145436
1733,387698016
1734,390807803
1735,487140624
1736,470778105
1737,432434588
1738,447973465
1739,493737848
1740,453199244
1741,438700280
1742,520700438
1743,450233151
1744,546454943
1745,413579694
1746,305994858
1747,524489737
1748,376571602
1749,421622166
1750,474685261
1751,539538132
1752,500542261
1753,567142693
1754,479424528
1755,532412761
1756,495545148
1757,566974123
1758,456940551
1759,548218226
1760,541941868
1761,606282488
1762,538267727
1763,649667225
1764,669455721
1765,642575578
1766,635860708
1767,615997960
1768,672208617
1769,698051019
1770,721933520
1771,687810963
1772,690528758
1773,666826513
1774,704336532
1775,768372103
1776,739605620
1777,727976045
1778,728534589
1779,650649147
1780,606602786
1781,606542860
1782,720092761
1783,801670706
1784,737797713
1785,890791497
1786,868396164
1787,743190049
1788,960852513
1789,919013685
1790,1196661576
1791,1092830612
1792,1209730056
1793,1178651984
1794,1114909659
1795,1288239884
1796,1399063154
1797,1216698092
1798,1112300538
1799,1041533450
